0:0:0:0:0: addSignalOneAndTwo 
212:68:-1233:500: null 
213:68:-1233:500: null 
214:68:-1233:500: null 
215:68:-1233:500: null 
216:68:-1233:500: null 
217:68:-1233:500: null 
218:68:-1233:500: null 
219:68:-1233:500: null 
220:68:-1233:500: null 
221:68:-1233:500: null 
222:68:-1233:500: null 
223:68:-1233:500: null 
224:68:-1233:500: null 
225:68:-1233:500: null 
226:68:-1233:500: null 
227:68:-1233:500: null 
228:68:-1233:500: null 
229:68:-1233:500: null 
230:68:-1233:500: null 
231:68:-1233:500: null 
232:68:-1233:500: null 
233:68:-1233:500: null 
234:68:-1233:500: null 
235:18:-1233:500: null 
236:18:-1233:500: null 
237:0:-1233:500: null 
238:0:-1233:500: null 
239:0:-1233:500: null 
240:0:-1233:500: null 
241:88:-1233:500: null 
242:18:-1233:500: null 
243:18:-1233:500: null 
244:18:-1233:500: null 
245:18:-1233:500: null 
246:18:-1233:500: null 
247:18:-1233:500: null 
248:18:-1233:500: null 
249:18:-1233:500: null 
250:18:-1233:500: null 
251:18:-1233:500: null 
252:18:-1233:500: null 
253:18:-1233:500: null 
254:18:-1233:500: null 
255:18:-1233:500: null 
256:18:-1233:500: null 
257:18:-1233:500: null 
258:18:-1233:500: null 
259:18:-1233:500: null 
260:18:-1233:500: null 
261:18:-1233:500: null 
262:18:-1233:500: null 
263:18:-1233:500: null 
264:18:-1233:500: null 
265:18:-1233:500: null 
266:18:-1233:500: null 
267:18:-1233:500: null 
268:18:-1233:500: null 
269:18:-1233:500: null 
270:18:-1233:500: null 
271:18:-1233:500: null 
272:18:-1233:500: null 
273:18:-1233:500: null 
274:18:-1233:500: null 
275:18:-1233:500: null 
276:18:-1233:500: null 
277:18:-1233:500: null 
278:18:-1233:500: null 
279:18:-1233:500: null 
280:18:-1233:500: null 
281:18:-1233:500: null 
282:18:-1233:500: null 
283:18:-1233:500: null 
284:18:-1233:500: null 
285:18:-1233:500: null 
286:18:-1233:500: null 
287:18:-1233:500: null 
288:18:-1233:500: null 
289:18:-1233:500: null 
290:18:-1233:500: null 
291:18:-1233:500: null 
292:18:-1233:500: null 
293:18:-1233:500: null 
294:18:-1233:500: null 
295:18:-1233:500: null 
296:18:-1233:500: null 
297:18:-1233:500: null 
298:18:-1233:500: null 
299:18:-1233:500: null 
300:18:-1233:500: null 
301:18:-1233:500: null 
302:18:-1233:500: null 
303:18:-1233:500: null 
304:18:-1233:500: null 
305:18:-1233:500: null 
306:18:-1233:500: null 
307:18:-1233:500: null 
308:18:-1233:500: null 
309:18:-1233:500: null 
310:18:-1233:500: null 
311:18:-1233:500: null 
312:18:-1233:500: null 
313:18:-1233:500: null 
314:18:-1233:500: null 
315:18:-1233:500: null 
316:18:-1233:500: null 
317:18:-1233:500: null 
318:18:-1233:500: null 
319:18:-1233:500: null 
320:18:-1233:500: null 
321:18:-1233:500: null 
322:18:-1233:500: null 
323:18:-1233:500: null 
324:18:-1233:500: null 
325:18:-1233:500: null 
326:18:-1233:500: null 
327:18:-1233:500: null 
328:18:-1233:500: null 
329:18:-1233:500: null 
330:18:-1233:500: null 
331:18:-1233:500: null 
332:18:-1233:500: null 
333:18:-1233:500: null 
334:18:-1233:500: null 
335:18:-1233:500: null 
336:18:-1233:500: null 
337:18:-1233:500: null 
338:18:-1233:500: null 
339:18:-1233:500: null 
340:18:-1233:500: null 
341:18:-1233:500: null 
342:18:-1233:500: null 
343:18:-1233:500: null 
344:18:-1233:500: null 
345:18:-1233:500: null 
346:18:-1233:500: null 
347:18:-1233:500: null 
348:18:-1233:500: null 
349:18:-1233:500: null 
350:18:-1233:500: null 
351:18:-1233:500: null 
352:0:-1233:500: null 
353:0:-1233:500: null 
354:0:-1233:500: null 
355:0:-1233:500: null 
356:88:-1233:500: null 
357:18:-1233:500: null 
358:18:-1233:500: null 
359:18:-1233:500: null 
360:18:-1233:500: null 
361:18:-1233:500: null 
362:18:-1233:500: null 
363:18:-1233:500: null 
364:18:-1233:500: null 
365:18:-1233:500: null 
366:0:-1233:500: null 
367:0:-1233:500: samplingModeInternal 
368:83:-1233:500: samplingModeInternal 
369:83:-1233:500: samplingModeInternal 
370:83:-1233:500: samplingModeInternal 
371:83:-1233:500: samplingModeInternal 
372:83:-1233:500: samplingModeInternal 
373:83:-1233:500: samplingModeInternal 
374:83:-1233:500: samplingModeInternal 
375:83:-1233:500: samplingModeInternal 
376:83:-1233:500: samplingModeInternal 
377:83:-1233:500: samplingModeInternal 
378:83:-1233:500: samplingModeInternal 
379:83:-1233:500: samplingModeInternal 
380:83:-1233:500: samplingModeInternal 
381:83:-1233:500: samplingModeInternal 
382:83:-1233:500: samplingModeInternal 
383:83:-1233:500: samplingModeInternal 
384:83:-1233:500: samplingModeInternal 
385:83:-1233:500: samplingModeInternal 
386:83:-1233:500: samplingModeInternal 
387:83:-1233:500: samplingModeInternal 
388:83:-1233:500: samplingModeInternal 
389:83:-1233:500: samplingModeInternal 
390:83:-1233:500: samplingModeInternal 
391:83:-1233:500: samplingModeInternal 
392:83:-1633:500: samplingModeInternal 
393:83:-2566:500: samplingModeInternal 
394:83:-3533:500: samplingModeInternal 
395:83:-4066:500: samplingModeInternal 
396:83:-4466:500: samplingModeInternal 
397:83:-4733:500: samplingModeInternal 
398:83:-4900:500: samplingModeInternal 
399:83:-4933:500: samplingModeInternal 
400:83:-4900:500: samplingModeInternal 
401:83:-4700:500: samplingModeInternal 
402:83:-4433:500: samplingModeInternal 
403:83:-4066:500: samplingModeInternal 
404:83:-3600:500: samplingModeInternal 
405:83:-3166:500: samplingModeInternal 
406:83:-2699:500: samplingModeInternal 
407:83:-1933:500: samplingModeInternal 
408:83:-1466:500: samplingModeInternal 
409:83:-800:500: samplingModeInternal 
410:83:-266:500: samplingModeInternal 
411:83:599:500: samplingModeInternal 
412:83:1399:500: samplingModeInternal 
413:83:2266:500: samplingModeInternal 
414:83:3300:500: samplingModeInternal 
415:83:4099:500: samplingModeInternal 
416:83:4466:500: samplingModeInternal 
417:83:4466:500: samplingModeInternal 
418:83:4466:500: samplingModeInternal 
419:83:4466:500: samplingModeInternal 
420:83:4466:500: samplingModeInternal 
421:83:4466:500: samplingModeInternal 
422:83:4466:500: samplingModeInternal 
423:83:4466:500: samplingModeInternal 
424:83:4466:500: samplingModeInternal 
425:83:4466:500: samplingModeInternal 
426:83:4466:500: samplingModeInternal 
